Label;Text
negative;After two I felt disgusting.
negative;After waiting an hour and being seated, I was not in the greatest of moods.
positive;After watching this film, I wanted to learn more about the works of this artist.  
negative;Again, lame.  
negative;Again, no plot at all.  
neutral;Ah he'd rather work at home
positive;Alexander Nevsky is a great film.  
negative;All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.
positive;all I can say is WOW!
positive;All I have to say is the food was amazing!!!
positive;All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  
positive;All in all I give this one a resounding 9 out of 10.  
positive;All in all I think it was a good investment.
negative;All in all its an insult to one's intelligence and a huge waste of money.  
negative;All in all, a great disappointment.  
positive;All in all, I can assure you I'll be back.
negative;All in all, I'd expected a better consumer experience from Motorola.
positive;All in all, I'm quite satisfied with this purchase.
negative;All in all, the restaurant was a bit of a flop.
negative;All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.
positive;All of the main players are mesmerising.  
positive;All the actors give a wonderful performance.  
positive;All the characters in this film are tremendously well played.  
positive;All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.
negative;All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  
positive;All things considered, a job very well done.  
negative;All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  
negative;All three broke within two months of use.
negative;Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  
negative;Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  
negative;Also difficult to put on.I'd recommend avoiding this product.
negative;Also the area where my unit broke. I'm not too fond of the magnetic strap.
negative;Also the story and acting were weak.  
negative;Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.
negative;Also, the fries are without a doubt the worst fries I've ever had.
negative;Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.
negative;Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.
positive;Always a great time at Dos Gringos!
positive;Always a pleasure dealing with him.
negative;AMAZON SUCKS.
positive;Ambiance and decor is nice and mellow .
positive;Ambience is perfect.
positive;An absolute must visit!
positive;An AMAZING finale to possibly the BEST trilogy of all time!  
positive;An Awesome New Look For Fall 2000!.
positive;An excellent new restaurant by an experienced Frenchman.
negative;An hour and a half I wish I could bring back.  
positive;An instant classic, with a great soundtrack and a catchy song during the ending credits.  
negative;And don't even get me started on the jerky camerawork.  
negative;And generally the lines and plot is weaker than the average episode.  
negative;And he just dived into the bloody office
positive;And his subtle connections between the three films are awesome.  
neutral;And I can't stop working
positive;And I just love the colors!
positive;And I really did find them funny.  
neutral;And I says are you still working tomorrow?
neutral;And I told him I want them back don't take them to the office
negative;And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  
neutral;And I'm working in March
negative;And it was boring.  
negative;And none of the tones is acceptable.
positive;And service was super friendly.
negative;And the accents are absolutely abysmal!  
negative;And the beans and rice were mediocre at best.
positive;And the chef was generous with his time (even came around twice so we can take pictures with him).
negative;And the drinks are WEAK, people!
negative;And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  
positive;And the sound quality is great.
neutral;And then she was going to the careers office
negative;And then tragedy struck.
positive;"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  "
positive;And those baby owls were adorable.  
negative;And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  
negative;And, quite honestly, often its not very good.  
positive;Anne Heche was utterly convincing.  
negative;Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.
negative;Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  
neutral;Any more homework
positive;Any ring tone..Overall good phone to buy..
negative;Anyway, I do not think i will go back there.
negative;Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.
positive;Appears to actually outperform the original battery from China that came with my V325i.
negative;Appetite instantly gone.
neutral;Are you satisfied with their service?
neutral;Are you still working?
neutral;Are you working from that book?
neutral;Are you working the Saturday?
neutral;Are you working Tuesday night?
positive;Arrived quickly and much less expensive than others being sold.
negative;Artless camera-work endlessly presents us with the ugliest setting imaginable.  
negative;As a sushi lover avoid this place by all means.
positive;As always the evening was wonderful and the food delicious!
negative;As for the killer, don't expect anything original or even remotely frightening.  
positive;As for the service, I thought it was good.
negative;As I said above....PRETTY USELESS!
negative;As many people complained, I found this headset's microphone was very weak.
negative;As much as I'd like to go back, I can't get passed the atrocious service and will never return.
positive;As they say in Canada, This is the fun game, aye.  
negative;Aside from it's terrible lead, this film has loads of other debits.  
negative;At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  
negative;At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).
negative;At least a mugger steals from me face to face
negative;At no point in the proceedings does it look remotely like America.  
negative;Att is not clear, sound is very distorted and you have to yell when you talk.
negative;Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  
negative;Audio Quality is poor, very poor.
positive;Authentic leather with nice shine and comfort .I recommend you this case !!
negative;Avoid at all cost!
negative;Avoid at ALL costs!  
negative;Avoid at all costs.  
negative;Avoid at any and all costs.  
negative;AVOID THIS ESTABLISHMENT!
negative;Avoid this film at all costs.  
negative;Avoid this one if you can.
negative;AVOID!! 
negative;Avoid, avoid, avoid!  
positive;awesome device.
positive;Awesome service and food.
negative;Awful service.
negative;Awful.  
negative;Awkward to use and unreliable.
positive;Awsome Device Works Great!!.
negative;Bad characters, bad story and bad acting.  
negative;Bad Choice.
negative;Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!
negative;bad fit, way too big.
negative;Bad Purchase.
negative;Bad Quality.
negative;Bad Reception.
negative;Bad script, bad direction and horrible acting make this one plain bad!  
negative;Basically the service was very bad.
negative;Battery has no life.
positive;Battery is holding up well.
negative;Battery is terrible.
negative;Battery lasts only a few hours.
positive;Battery life is also great!
positive;Battery life is real good.
negative;Battery life still not long enough in Motorola Razor V3i.
negative;Be extremely careful if you've never used it before.
positive;Beautiful styling though.
neutral;because I'm I'm so busy
negative;Bela Lugosi was totally extraneous, intoning odd lines.  
positive;best bluetooth on the market.
positive;Best breakfast buffet!!!
positive;Best Buffet in town, for the price you cannot beat it.
positive;Best fish I've ever had in my life!
positive;Best headset ever!!!.
positive;Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.
positive;Best of all is the rotating feature, very helpful.
negative;Best of luck to the rude and non-customer service focused new management.
positive;Best tacos in town by far!!
positive;better  functionality
positive;Better than expected.
positive;Better Than New.
positive;Better than you'd expect.
negative;Beware: this is not a trashy cult movie, this is trash -period!  
negative;Big Disappointment with calendar sync.
negative;Bland and flavorless is a good way of describing the barely tepid meat.
positive;Blue Ant is easy to use.
negative;Bluetooth does not work, phone locks up, screens just flash up and now it just makes calls randomly while in my pocket locked.
positive;Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.
positive;Both actors truly understand and become their particular character, delivering a convincing, sincere performance.  
positive;Both do good jobs and are quite amusing.  
positive;Both great!
positive;Both of the egg rolls were fantastic.
negative;Bought mainly for the charger, which broke soon after purchasing.
positive;Brilliance indeed.  
positive;Brilliant!  
negative;BT50 battery junk!.
positive;But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  
positive;But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.
negative;But even the talented Carrell can't save this.  
negative;But I definitely would not eat here again.
negative;But I don't like it.
positive;But I thought his acting was skilled.  
positive;But if you liked movies like The Matrix (and better yet, their sequels) I think you'll appreciate the thought provoking, mindblowing experience this film will give you.  
positive;But in terms of the writing it's very fresh and bold.  
positive;But it does get better reception and clarity than any phone I've had before.
positive;But it is entertaining, nonetheless.  
positive;but it is great, i would really recommend it
positive;But it picked up speed and got right to the point.  
negative;But it wasn't anything at all just one big yawn...  
positive;But it wasn't until I watched this film that I realised how great he actually was.  
negative;But it's just not funny.  
negative;But now I was completely grossed out.
negative;"But now that it is ""out of warranty"" the same problems recur.Bottom line... put your money somewhere else... Cingular will not support it."
negative;But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  
neutral;but she couldn't speak it
negative;But she is still a bad actress, repeating her robotic face moves in each of her pictures.  
negative;But the acting was terrible, the directing worse, the dialog chimp-like, and the camera work, barely tolerable.  
negative;But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  
negative;but the movie makes a lot of serious mistakes.  
negative;But the premise of the film was so ridiculous: that the President of the U.S.  
negative;But the service was beyond bad.
negative;But this movie is definitely a below average rent.  
negative;But this movie is not funny, considering the ridiculousness of it.  
positive;But this movie really got to me.  
positive;But this understated film leaves a lasting impression.  
neutral;but we'll go back again
negative;But what really made it unwatchable was the direction.  
negative;But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  
negative;But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.
negative;"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  "
neutral;but you know it takes a long while to get over it
negative;Buttons are too small.
negative;Buy a different phone - but not this.
positive;Buy it, play it, enjoy it, love it.  
negative;Buyer Beware, you could flush money right down the toilet.
negative;Buyer--Be Very Careful!!!!!.
negative;By the time the film ended, I not only disliked it, I despised it.  
negative;By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  
negative;camera color balance is AWFUL.
negative;Camerawork - again, bad.  
negative;Can't get the software to work with my computer.
negative;Can't save for mysterious reasons. 
negative;Can't store anything but phone numbers to SIM.
negative;Can't upload ringtones from a third party.
positive;Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended
negative;Case was more or less an extra that I originally put on but later discarded because it scratched my ear.
negative;Characters are one-dimensional, even the good guys and especially the bad guys.  
positive;Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.
negative;Chinese Forgeries Abound!.
positive;Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  
positive;Clear crisp sound.
positive;Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  
neutral;Closed on mondays , but otherwise , go give them a visit .
positive;Come hungry, leave happy and stuffed!
neutral;come on!
positive;Comfort for our whole family.
positive;Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.
positive;Comfortable in my hand.
positive;Comfortable, Nice Range, Good Battery Life.
negative;Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.
negative;Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  
positive;Cooked to perfection and the service was impeccable.
positive;cool phone.
negative;Could not get strong enough signal.
negative;Couldn't figure it out
negative;Couldn't use the unit with sunglasses, not good in Texas!
negative;Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  
positive;Crisp and Clear.
negative;Crust is not good.
negative;Cumbersome design.
negative;Customer service was terrible.
positive;Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  
negative;Defective crap.
negative;Definitely a turn off for me & i doubt I'll be back unless someone else is buying.
positive;definitely will come back here again.
positive;Definitely worth checking out.  
positive;Definitely worth seeing it's the sort of thought provoking film that forces you to question your own threshold of loneliness.  
negative;Del Taco is pretty nasty and should be avoided if possible.
negative;DELETE this film from your mind!  
positive;Delicious and I will absolutely be back!
positive;DELICIOUS!!
positive;Delicious, good selections of cream cheese.
negative;Design Flaw?.
negative;Devastated .
negative;did not like at all.
negative;Did not work with my computer
negative;Didn't laugh or even smile once.  
negative;Disapointing Results.
negative;Disappointed with battery.
negative;Disappointed!.
negative;disappointed.
negative;Disappointing accessory from a good manufacturer.
negative;Disappointing experience.
negative;disappointing.
negative;Disappointment.. I hate anything that goes in my ear.
positive;Display is excellent and camera is as good as any from that year.
negative;DO NOT BUY DO NOT BUY IT SUCKS
negative;Do Not Buy for D807...wrongly advertised for D807.
negative;Do NOT buy if you want to use the holster.
negative;Do not make the same mistake as me.
negative;DO NOT PURCHASE THIS PHONE.
negative;Do not waste your money here!
negative;Do not waste your time.  
neutral;Do you need the money urgently
neutral;Do you think we'll get one?
negative;Do yourself a favor and stay away from this dish.
positive;Does everything it should and more.
negative;Does not charge the Cingular (ATT) 8525 phone.
negative;Does not fit.
negative;Does not work for listening to music with the cingular 8125.
negative;Does Not Work.
negative;Doesn't do the job.
negative;Doesn't hold charge.
negative;doesn't last long.
negative;Doesn't work at all.. I bougth it for my L7c and its not working.
negative;Doesn't Work.
positive;Done to perfection .
negative;Don't bother coming here.
negative;Don't bother go to the store.
negative;dont buy it.
negative;Don't buy it.
negative;Don't buy this product - It fails!.
negative;Don't buy this product.
negative;dont go here.
negative;Don't make the same mistake I did.
negative;Don't make the same mistake that I did and please don't buy this phone.
positive;Don't miss it.  
negative;don't spend money to get this product. 
negative;Don't trust their website and don't expect any helpful support.
negative;DON'T waste money on this
negative;don't waste your money and time.
negative;Don't waste your money!.
negative;don't waste your money.
negative;Don't waste your money...
negative;Don't waste your time here.
negative;Don't waste your time watching this rubbish non-researched film.  
negative;Don't waste your time.  
positive;Each track commands sentiment, actually contributing to the scenes and characters.  
negative;Earbud piece breaks easily.
positive;Easily, none other cartoon made me laugh in a tender way.  
positive;Easy to pair with my Samsung Cell.
positive;Easy to use.
negative;Echo Problem....Very unsatisfactory
positive;Eclectic selection.
negative;Eew... This location needs a complete overhaul.
negative;Either way, it sucks.  
negative;End of Days is one of the worst big-budget action movies I've ever seen.  
negative;endless errors in the automatic update feature.
positive;Enough can not be said of the remarkable animation in this film.  
negative;Essentially you can forget Microsoft's tech support.
negative;Even allowing for poor production values for the time, this is baaaaaad.  
negative;Even Billy Bob couldn't rise above the script, which was worse.  
negative;Even if you love bad movies, do not watch this movie.  
negative;Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.
negative;Even the squibs look awful.  
negative;"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  "
negative;Even worse than Ticker!  
negative;Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  
positive;Every single character was hilarious and deserved to be called a lead.  
positive;every thing on phone work perfectly, she like it.
negative;"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  "
positive;Every time I eat here, I see caring teamwork to a professional degree.
positive;Everyone is treated equally special.
positive;Everyone is very attentive, providing excellent customer service.
positive;Everyone was friendly 
neutral;Everyone's at business studies
positive;Everything about it is fine and reasonable for the price.
negative;Everything about it is just bad.  
positive;Everything about this film is simply incredible.  
negative;Everything about this movie is stupid.  
negative;Everything about this product is wrong.First
negative;Everything Captain Howdy says is either laughable or just plain stupid.  
positive;Everything from acting to cinematography was solid.  
negative;Everything is appalling.  
negative;Everything stinks.  
positive;Everything was fresh and delicious!
positive;Everything was good and tasty!
negative;Everything was gross.
positive;Everything was perfect the night we were in.
positive;Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.
positive;Exactly what I wanted.
positive;Excellent bluetooth headset.
positive;Excellent cast, story line, performances.  
positive;Excellent dual-purpose headset.
positive;Excellent hands free tool.
positive;Excellent performance.  
positive;Excellent Phone.
positive;Excellent product for the price.
positive;Excellent product, I am very satisfied with the purchase.
positive;Excellent product.
positive;EXCELLENT SERVICE!!!!!!!!.
positive;Excellent short film.  
positive;Excellent sound quality.
positive;Excellent sound, battery life and inconspicuous to boot!.
positive;Excellent wallet type phone case.
positive;Excellent!.
positive;Excellently produced !  
negative;Exceptionally bad!  
positive;Extremely Tasty!
positive;Fans of the genre will be in heaven.  
positive;Fantastic buy and will get again for whatever my next phone is
positive;Fantastic earphones.
positive;Fantastic food!
positive;Fantastic service here.
positive;fast service.
negative;Final Word: This Show is a real torture!!  
negative;Finally, after three or four times the spring of the latch broke and I could not use it any longer on the visor.
negative;First of all, it doesn't wear well.
negative;first of all, there are enough racial stereotypes and racial jokes to offend everyone.  
negative;First off the reception sucks, I have never had more than 2 bars, ever.
positive;Fits comfortably, came with three sizes of earbud tips.
negative;Food is way overpriced and portions are fucking small.
positive;Food isn't bad
negative;Food quality has been horrible.
negative;Food was below average.
positive;Food was delicious!
positive;Food was good, service was good, Prices were good.
positive;Food was great and so was the serivce!
negative;Food was really boring.
positive;Food was really good.
positive;Food was so good.
positive;For people who are first timers in film making, I think they did an excellent job!!  
negative;For service, I give them no stars.
positive;For that, it's worth checking out.  
positive;For the price on Amazon, it is an excellent product, which I would highly recommend.
positive;For the price this was a great deal.
negative;For those that haven't seen it, don't waste your time!  
negative;Friend's pasta -- also bad, he barely touched it.
negative;From here on the Widmark character turns unintentionally comical!  
negative;Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  
positive;Funny, clever, hip, Hype!  
negative;"Generally; it just lacked imagination.  "
positive;Generous portions and great taste.
positive;Give this one a look.  
negative;Glad I didn't pay to see it.  
positive;GO AND SEE IT!  
positive;Go watch it!  
positive;Good , works fine.
positive;Good audio quality.
positive;Good beer & drink selection and good food selection.
positive;Good camera - very nice pictures , also has cool styles like black and white, and more.
positive;Good case!.
positive;Good case, Excellent value.
positive;Good food , good service .
positive;good item, low price.
positive;GOOD one !!!!!!!!
positive;Good price.
positive;Good product - incredible value.
positive;Good product, good seller.
positive;good protection and does not make phone too bulky.
positive;Good Quality.
positive;Good service, very clean, and inexpensive, to boot!
positive;Good Service-check!
positive;Good show, Samsung.
positive;Good transmit audio.
positive;Good value, works fine - power via USB, car, or wall outlet.
neutral;Goodbye
negative;Graphics is far from the best part of the game.  
positive;Great audio!.
positive;Great bluetooth!.
positive;Great brunch spot.
positive;Great case and price!
positive;Great charger.
positive;Great choice!
positive;Great Earpiece.
positive;Great food and awesome service!
positive;Great food and service, huge portions.
positive;Great food for the price, which is very high quality and house made.
positive;Great food.
positive;Great for iPODs too.
positive;Great for the jawbone.
positive;Great for using with your home stereo.
positive;Great Hands Free Device.
positive;great headset, very impressed - H500.
positive;Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!
positive;Great movie!  
positive;Great phone!.
positive;Great Phone.
positive;Great place !!!
positive;Great place fo take out or eat in.
positive;Great place to eat, reminds me of the little mom and pop shops .
positive;Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.
positive;Great price also!
positive;Great price, too!
positive;Great product and price.
positive;Great product for the price!.
positive;Great product, fast shipping!.
positive;Great Product.
positive;Great service and food.
positive;Great software for Motorolas.
positive;Great sound and service.
positive;Great steak, great sides, great wine, amazing desserts.
positive;Great Value.
positive;great...no problems at all!.
negative;Hackneyed writing, certainly, but made even worse by the bad directing.  
positive;Happy so far!.
negative;Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
positive;Has been working great.
negative;Hated it.  
neutral;Have you been busy
positive;Having to humour him just to get by and get through the day was so apt.  
negative;Having trouble with volume.
negative;He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  
negative;He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  
positive;he delivered one of the most popular, funny, and underrated cartoons ever created.  
positive;He deserves 5 stars.
positive;he has a wholesome appearance and gives a fine performance.  
positive;he has triumphed again.  
negative;He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  
positive;He is an amazing film artist, one of the most important whoever lived.  
negative;He is an embarrassment to his company and his family.
positive;he is legendary.  
positive;He is one of my favourite directors, and one of the most talented directors in the history of cinema.  
positive;he is still in top form and made another worthwhile experience.  
negative;"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  "
negative;He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  
negative;He was extremely rude and really.
negative;He was terrible!
positive;He was very impressed when going from the original battery to the extended battery.
positive;Headset works great & was packaged nicely to avoid any damage.
negative;Hell no will I go back
neutral;Hello
negative;Hence the whole story lacks a certain energy.  
negative;Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  
positive;Her role was played well.  
positive;He's a national treasure.  
neutral;He's doing his homework
positive;Highly entertaining at all angles.  
positive;Highly recommend for any one who has a blue tooth phone.
positive;Highly recommended.
negative;Highly unprofessional and rude to a loyal patron!
negative;Highly unrecommended.  
positive;His acting was brilliant and the ending was fantastic!  
negative;His losing his marbles so early in the proceedings is totally implausible and unconvincing.  
positive;His on screen presence shined thought even though there were other senior actors on the screen with him.  
positive;His performance is simply genius.  
positive;his performance, as awarded, was stunning.  
positive;His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  
negative;Honeslty it didn't taste THAT fresh.
negative;Horrible - don't waste your time and money.
negative;Horrible phone.
negative;Horrible quality at a premium price
negative;Horrible!  
negative;horrible, had to switch 3 times.
negative;Horrible, horrible protector.
negative;Host staff were, for lack of a better word, BITCHES!
negative;Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.
positive;How awesome is that.
negative;How awful she is!  
positive;How can anyone in their right mind ask for anything more from a movie than this?  
negative;How can that be?The audio quality is poor.
negative;How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!
negative;How stupid is that?
negative;How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  
negative;However, after about a year, the flip top started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.
positive;However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  
negative;However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.
negative;However, here there was no decent acting, action or location work to balance things up.  
negative;However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  
negative;however, my girl was complain that some time the phone doesn't wake up like normal phone does.
negative;However, my recent experience at this particular location was not so good.
negative;However, the ear pads come off easily and after only one week I lost one.
negative;However, the keypads are so tinny that I sometimes reach the wrong buttons.
negative;However, there was so much garlic in the fondue, it was barely edible.
negative;However, this didn't make up for the fact that overall, this was a tremendously boring movie.  
negative;However-the ringtones are not the best, and neither are the games.
positive;I *heart* this place.
negative;I advise EVERYONE DO NOT BE FOOLED!
positive;I advise you to look out for it.  
negative;I agree with Jessica, this movie is pretty bad.  
negative;I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.
negative;"I also didn't like the ""on"" button, it felt like it would crack with use."
positive;I am also very happy with the price.
negative;I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.
positive;I am glad I purchased it.
negative;I am going to have to be the first to negatively review this product.
positive;I am more than happy with this product.
negative;I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  
negative;I am not impressed with this and i would not recommend this item to anyone.
neutral;I am not very familiar with phoenix or good sushi restaurants so i went to my phone for help .
positive;I am pairing this with my iphone, and I could not be happier with it so far.
positive;I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.  
positive;I am so thrilled after seeing a movie like this.  
negative;I am sorry I made this purchase.
positive;I am very happy
positive;I am very impressed with the job that Motorola did on the sturdiness of this phone.
positive;I am very impressed with this headset from Plantronics.
positive;I am very pleased with my purchase.
negative;I asked for MY MONEY back!!!!!!!!!!!
negative;I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.
positive;I believe every one should see this movie.  
positive;I believe the screenwriter did a good job of tying up the loose ends.  
negative;I bought it for my mother and she had a problem with the battery.
negative;I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.
positive;I bought this battery with a coupon from Amazon and I'm very happy with my purchase.
negative;I bought this phone as a replacement for my StarTac and have regretted it since.
positive;I bought this to use with my Kindle Fire and absolutely loved it!
negative;I bought two of them and neither will charge.
negative;I came back today since they relocated and still not impressed.
negative;I came out of it feeling angry.  
positive;I can assure you that you won't be disappointed.
negative;"I can barely ever hear on it and am constantly saying ""what?"""
positive;I can think of no other film where something vitally important occurs every other minute.  
negative;"I cannot believe that the actors agreed to do this ""film"".  "
